rank,company,followers
1,Google,40000000
2,Amazon,36000000
3,LinkedIn,33000000
4,Microsoft,27000000
5,Ted Conferences,24000000
6,Unilever,21000000
7,Deloitte,21000000
8,LinkedIn News,20000000
9,IBM,19000000
10,Apple,18000000
11,Forbes Magazine,18000000
12,Tata Consultancy Services,18000000
13,Nestle,17000000
14,Harvard Business Review,15000000
15,Accenture,14000000
16,The Economist,13000000
17,Tesla Motors,12000000
18,Meta,12000000
19,Netflix,12000000
20,Wipro,11000000
21,Oracle,11000000
22,Amazon Web Services,11000000
23,Ernst & Young,11000000
24,Infosys,11000000
25,OpenAI,10000000
26,Wall St Journal,10000000
27,Johnson & Johnson,10000000
28,PepsiCo,10000000
29,Procter & Gamble,9000000
30,Cognizant,9000000
31,Capgemini,9000000
32,HCLTech,9000000
33,LinkedIn News India,9000000
34,BBC News,8000000
35,Financial Times,8000000
36,Tech Mahindra,8000000
37,PWC,8000000
38,The New York Times,7000000
39,NASA,7000000
40,Shell,7000000
41,Cisco,7000000
42,Pfizer,7000000
43,Walt Disney,6000000
44,Nike,6000000
45,Leadership First,6000000
46,World Health Organisation,6000000
47,Nubank,6000000
48,L’Oreal,6000000
49,Salesforce,6000000
50,Ambev,6000000
51,World Economic Forum,6000000
52,Goldman Sachs,6000000
53,Flipkart,6000000
54,UNICEF,5000000
55,Walmart,5000000
56,Samsung Electronics,5000000
57,Adobe,5000000
58,Citi,5000000
59,SAP,5000000
60,TotalEnergies,5000000
61,LinkedIn for Marketing,5000000
62,J.P Morgan,5000000
63,Reliance Industries Limited,5000000
64,Vale,5000000
65,Emirates,5000000
66,Bloomberg News,4000000
67,ITC Limited,4000000
68,Ford Motor Company,4000000
69,The Female Lead,4000000
70,National Geographic,4000000
71,Spotify,4000000
72,TikTok,4000000
73,INC. Magazine,3000000
74,CNBC,3000000
75,SpaceX,3000000
76,TechCrunch,3000000
77,The Economic Times,3000000
78,Simon Sinek Inc,3000000
79,Starbucks,3000000
80,Airbnb,3000000
81,Mondelez International,3000000
82,Louis Vuitton,3000000
83,LVMH,3000000
84,Harvard University,3000000
85,Ferrari,3000000
86,Sephora,3000000
87,DHL,3000000
88,TIME,2000000
89,Entrepreneur Media,2000000
90,Interesting Engineering,2000000
91,McDonald’s,2000000
92,YouTube,2000000
93,Standard Chartered Bank,2000000
94,Wired,2000000
95,European Commission,2000000
96,Washington Post,2000000
97,European Leadership,2000000
98,United Health Care,2000000
99,BAT,2000000
100,Thermofisher Scientific,2000000
